Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AEE,Ameren Corporation Common Stock,$81.11,-0.19,-0.234%,20716304857.00,United States,,1395226,Public Utilities,Power Generation
AEP,American Electric Power Company Inc. Common Stock,$86.07,-0.62,-0.715%,42747687839.00,United States,,2814783,Public Utilities,Electric Utilities: Central
AGR,Avangrid Inc. Common Stock,$51.08,-0.45,-0.873%,15802700868.00,United States,2015,920410,Public Utilities,Electric Utilities: Central
AMOV,America Movil S.A.B. de C.V. Class A American Depositary Shares,$14.2279,0.3679,2.654%,47349925223.00,Mexico,,6630,Public Utilities,Telecommunications Equipment
AMX,America Movil S.A.B. de C.V. American Depository Receipt Series L,$14.27,0.36,2.588%,47477189467.00,Mexico,,3390823,Public Utilities,Telecommunications Equipment
ATO,Atmos Energy Corporation Common Stock,$98.32,0.09,0.092%,12600759532.00,United States,,848385,Public Utilities,Oil/Gas Transmission
AWK,American Water Works Company Inc. Common Stock,$151.69,-1.24,-0.811%,27526768214.00,United States,2008,657252,Public Utilities,Water Supply
BCE,BCE Inc. Common Stock,$45.97,0.04,0.087%,41582582930.00,Canada,,1000977,Public Utilities,Telecommunications Equipment
CMS,CMS Energy Corporation Common Stock,$60.60,-0.54,-0.883%,17539244203.00,United States,,2312969,Public Utilities,Power Generation
CNP,CenterPoint Energy Inc (Holding Co) Common Stock,$23.23,-0.13,-0.557%,12813225143.00,United States,,5406433,Public Utilities,Electric Utilities: Central
CQP,Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units,$42.71,-0.02,-0.047%,20672542163.00,United States,2007,119088,Public Utilities,Oil/Gas Transmission
D,Dominion Energy Inc. Common Stock,$76.21,-0.01,-0.013%,61425487487.00,United States,,2624489,Public Utilities,Electric Utilities: Central
DTE,DTE Energy Company Common Stock,$134.95,-0.75,-0.553%,26143487124.00,United States,,611336,Public Utilities,Electric Utilities: Central
DUK,Duke Energy Corporation (Holding Company) Common Stock,$97.62,-0.20,-0.204%,75090916487.00,United States,,4922358,Public Utilities,Power Generation
ED,Consolidated Edison Inc. Common Stock,$75.12,-0.19,-0.252%,25742747650.00,United States,,1855458,Public Utilities,Power Generation
EIX,Edison International Common Stock,$60.33,0.37,0.617%,22885075126.00,United States,,1617006,Public Utilities,Electric Utilities: Central
EPD,Enterprise Products Partners L.P. Common Stock,$23.12,0.55,2.437%,50438572163.00,United States,,7554448,Public Utilities,Natural Gas Distribution
ES,Eversource Energy (D/B/A) Common Stock,$87.24,-0.36,-0.411%,29951328315.00,United States,,1337098,Public Utilities,Electric Utilities: Central
ET,Energy Transfer LP Common Units ,$7.88,0.08,1.026%,21303473486.00,United States,,12388894,Public Utilities,Natural Gas Distribution
ETR,Entergy Corporation Common Stock,$101.28,-0.44,-0.433%,20364210287.00,United States,,770262,Public Utilities,Electric Utilities: Central
EXC,Exelon Corporation Common Stock,$44.90,-0.05,-0.111%,43856525751.00,United States,,5962336,Public Utilities,Power Generation
FE,FirstEnergy Corp. Common Stock,$34.99,-0.04,-0.114%,19034789569.00,United States,,4979842,Public Utilities,Electric Utilities: Central
KMI,Kinder Morgan Inc. Common Stock,$16.83,-0.10,-0.591%,38112418373.00,United States,2011,11097686,Public Utilities,Natural Gas Distribution
LNG,Cheniere Energy Inc. Common Stock,$72.95,-0.71,-0.964%,18494946751.00,United States,,1201616,Public Utilities,Oil/Gas Transmission
LNT,Alliant Energy Corporation Common Stock,$54.15,-0.24,-0.441%,13544547352.00,United States,,1430937,Public Utilities,Power Generation
LUMN,Lumen Technologies Inc. Common Stock,$12.91,-0.57,-4.228%,14160315013.00,United States,,12322407,Public Utilities,Telecommunications Equipment
NEE,NextEra Energy Inc. Common Stock,$77.76,0.35,0.452%,152521967866.00,United States,,7453403,Public Utilities,Electric Utilities: Central
OKE,ONEOK Inc. Common Stock,$50.46,-0.68,-1.33%,22453872204.00,United States,,3478835,Public Utilities,Oil & Gas Production
PCG,Pacific Gas & Electric Co. Common Stock,$11.29,-0.05,-0.441%,22407080328.00,United States,,10219487,Public Utilities,Power Generation
PEG,Public Service Enterprise Group Incorporated Common Stock,$61.30,0.07,0.114%,30962206356.00,United States,,1484923,Public Utilities,Power Generation
PPL,PPL Corporation Common Stock,$28.72,-0.28,-0.966%,22085243025.00,United States,,3578345,Public Utilities,Electric Utilities: Central
RSG,Republic Services Inc. Common Stock,$102.35,-0.03,-0.029%,32649537415.00,United States,1998,978205,Public Utilities,Environmental Services
SO,Southern Company (The) Common Stock,$62.86,0.06,0.096%,66418483228.00,United States,,3717514,Public Utilities,Electric Utilities: Central
SRE,Sempra Energy Common Stock,$133.15,-0.37,-0.277%,40305325603.00,United States,,1353360,Public Utilities,Natural Gas Distribution
T,AT&T Inc.,$30.00,-0.93,-3.007%,214153744980.00,United States,,49856420,Public Utilities,Telecommunications Equipment
